sample_id,source_file,source_index,excel_row,device,split,status,reason,noise_floor,beamforming_en,dfx_time,csi_time
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::2,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,0,2,bc98-2983-907b,train,ok,,-95.25,0,0.0,1.890999972820282
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::3,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,1,3,bc98-2983-907b,train,ok,,-94.5,0,101.30499994754793,101.89099997282028
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::4,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,2,4,bc98-2983-907b,train,ok,,-93.75,0,204.7069999575615,203.89099997282028
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::5,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,3,5,bc98-2983-907b,train,ok,,-94.0,0,218.7989999651909,221.89099997282028
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::6,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,4,6,bc98-2983-907b,train,ok,,-95.25,0,938.1059999465942,933.8909999728204
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::7,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,5,7,bc98-2983-907b,train,ok,,-95.25,0,1049.186999976635,1050.8909999728205
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::8,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,6,8,bc98-2983-907b,train,ok,,-95.25,0,1567.6689999699593,1569.8909999728205
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::9,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,7,9,bc98-2983-907b,train,ok,,-94.75,0,1671.9469999670982,1673.8909999728205
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::10,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,8,10,bc98-2983-907b,train,ok,,-92.75,0,3346.767999947071,3344.8909999728203
notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx::11,notxbf_com_excels_f4/bc98-2983-907b/train/bc98-2983-907b_0.xlsx,9,11,bc98-2983-907b,train,ok,,-94.5,0,3445.9939999580383,3443.8909999728203
