index,mcs
0,309.7
1,206.5
2,275.3
3,275.3
4,275.3
5,275.3
6,206.5
7,275.3
8,309.7
9,275.3
10,275.3
11,275.3
12,275.3
13,275.3
14,309.7
15,275.3
16,275.3
17,275.3
18,275.3
19,309.7
20,275.3
21,275.3
22,275.3
23,275.3
24,275.3
25,206.5
26,275.3
27,275.3
28,275.3
29,275.3
30,275.3
31,275.3
32,275.3
33,309.7
34,275.3
35,206.5
36,275.3
37,275.3
38,275.3
39,275.3
40,275.3
41,275.3
42,275.3
43,275.3
44,275.3
45,309.7
46,275.3
47,275.3
48,275.3
49,275.3
50,275.3
51,309.7
52,275.3
53,275.3
54,275.3
55,275.3
56,275.3
57,275.3
58,275.3
59,275.3
60,309.7
61,275.3
62,275.3
63,275.3
64,206.5
65,275.3
66,309.7
67,275.3
68,275.3
69,275.3
70,309.7
71,275.3
72,275.3
73,275.3
74,275.3
75,275.3
76,275.3
77,309.7
78,275.3
79,309.7
80,275.3
81,275.3
82,275.3
83,275.3
84,275.3
85,275.3
86,275.3
87,206.5
88,309.7
89,309.7
90,309.7
91,309.7
92,275.3
93,309.7
94,309.7
95,309.7
96,344.1
97,344.1
98,309.7
99,309.7
100,309.7
101,309.7
102,309.7
103,206.5
104,309.7
105,309.7
106,309.7
107,309.7
108,309.7
109,309.7
110,309.7
111,309.7
112,344.1
113,309.7
114,309.7
115,309.7
116,309.7
117,309.7
118,309.7
119,275.3
120,309.7
121,309.7
122,275.3
123,309.7
124,309.7
125,309.7
126,309.7
127,309.7
128,309.7
129,309.7
130,344.1
131,309.7
132,309.7
133,309.7
134,309.7
135,309.7
136,309.7
137,309.7
138,309.7
139,309.7
140,309.7
141,309.7
142,309.7
143,309.7
144,309.7
145,309.7
146,309.7
147,309.7
148,309.7
149,309.7
150,309.7
151,275.3
152,309.7
153,309.7
154,309.7
155,309.7
156,275.3
157,309.7
158,309.7
159,309.7
160,344.1
161,309.7
162,309.7
163,309.7
164,344.1
165,309.7
166,206.5
167,344.1
168,309.7
169,309.7
170,344.1
171,309.7
172,309.7
173,309.7
174,309.7
