index,mcs
0,206.5
1,206.5
2,206.5
3,206.5
4,275.3
5,206.5
6,275.3
7,275.3
8,206.5
9,206.5
10,206.5
11,206.5
12,309.7
13,275.3
14,309.7
15,275.3
16,275.3
17,309.7
18,275.3
19,309.7
20,275.3
21,275.3
22,275.3
23,309.7
24,275.3
25,275.3
26,275.3
27,275.3
28,309.7
29,309.7
30,309.7
31,275.3
32,309.7
33,309.7
34,275.3
35,309.7
36,344.1
37,275.3
38,275.3
39,309.7
40,275.3
41,309.7
42,275.3
43,275.3
44,275.3
45,275.3
46,275.3
47,309.7
48,275.3
49,275.3
50,309.7
51,275.3
52,275.3
53,309.7
54,275.3
55,309.7
56,309.7
57,309.7
58,275.3
59,275.3
60,275.3
61,275.3
62,275.3
63,275.3
64,275.3
65,275.3
66,309.7
67,309.7
68,344.1
69,275.3
70,275.3
71,275.3
72,309.7
73,309.7
74,275.3
75,309.7
76,275.3
77,344.1
78,275.3
79,275.3
80,275.3
81,275.3
82,275.3
83,309.7
84,275.3
85,309.7
86,309.7
87,275.3
88,275.3
89,309.7
90,275.3
91,275.3
92,309.7
93,309.7
94,275.3
95,275.3
96,275.3
97,275.3
98,275.3
99,275.3
100,206.5
101,275.3
102,275.3
103,275.3
104,275.3
105,275.3
106,275.3
107,309.7
108,309.7
109,344.1
110,309.7
111,275.3
112,275.3
113,275.3
114,275.3
115,275.3
116,309.7
117,309.7
118,275.3
119,309.7
120,275.3
121,275.3
122,275.3
123,275.3
124,275.3
125,275.3
126,275.3
127,275.3
128,275.3
129,275.3
130,275.3
131,275.3
132,275.3
133,275.3
134,275.3
135,275.3
136,344.1
137,309.7
138,275.3
139,275.3
140,275.3
141,275.3
142,275.3
143,344.1
144,344.1
145,309.7
146,309.7
147,344.1
148,344.1
149,275.3
150,309.7
151,309.7
152,344.1
153,309.7
154,309.7
155,309.7
156,344.1
157,344.1
158,309.7
159,344.1
160,344.1
161,344.1
162,344.1
163,344.1
164,344.1
165,344.1
166,309.7
167,344.1
168,309.7
169,344.1
170,344.1
171,344.1
172,344.1
173,344.1
174,344.1
175,309.7
176,412.9
177,309.7
178,344.1
179,344.1
180,309.7
181,309.7
182,309.7
183,309.7
184,344.1
185,344.1
186,344.1
187,309.7
188,275.3
189,309.7
190,275.3
191,275.3
192,275.3
193,206.5
194,275.3
195,275.3
196,206.5
197,275.3
198,275.3
199,206.5
200,275.3
201,206.5
202,206.5
203,275.3
204,275.3
205,275.3
206,206.5
207,275.3
208,206.5
209,275.3
210,206.5
211,275.3
212,206.5
213,275.3
214,275.3
215,206.5
216,206.5
217,275.3
218,206.5
219,275.3
220,206.5
221,309.7
222,275.3
223,275.3
224,206.5
225,206.5
226,275.3
227,275.3
228,206.5
229,206.5
230,275.3
231,275.3
232,206.5
233,275.3
234,206.5
235,275.3
236,206.5
237,275.3
238,206.5
239,206.5
240,275.3
241,206.5
242,275.3
243,275.3
244,275.3
245,275.3
246,275.3
247,206.5
248,206.5
249,206.5
250,206.5
251,344.1
252,309.7
253,344.1
254,344.1
255,344.1
256,344.1
257,309.7
258,344.1
259,344.1
260,344.1
261,344.1
262,344.1
263,309.7
264,344.1
265,344.1
266,344.1
267,344.1
268,344.1
269,344.1
270,344.1
271,344.1
272,309.7
273,344.1
274,344.1
275,344.1
276,344.1
277,344.1
278,309.7
279,309.7
280,309.7
281,344.1
282,344.1
283,344.1
284,344.1
285,344.1
286,344.1
287,344.1
288,344.1
289,344.1
290,344.1
291,344.1
292,344.1
293,344.1
294,309.7
295,344.1
296,309.7
297,344.1
298,309.7
299,344.1
300,344.1
301,344.1
302,344.1
303,344.1
304,309.7
305,344.1
306,344.1
307,344.1
308,344.1
309,344.1
310,344.1
311,344.1
312,344.1
313,344.1
314,309.7
315,344.1
316,344.1
317,344.1
318,309.7
319,309.7
320,344.1
321,344.1
322,309.7
323,309.7
324,344.1
325,344.1
326,344.1
327,344.1
328,412.9
329,412.9
330,412.9
331,458.8
332,458.8
333,458.8
334,458.8
335,412.9
336,458.8
337,458.8
338,458.8
339,412.9
340,344.1
341,344.1
342,412.9
343,412.9
344,412.9
345,412.9
346,458.8
347,412.9
348,458.8
349,412.9
350,412.9
351,412.9
352,412.9
353,412.9
354,458.8
355,412.9
356,344.1
357,344.1
358,412.9
359,344.1
360,412.9
361,412.9
362,412.9
363,412.9
364,412.9
365,412.9
366,458.8
367,412.9
368,458.8
369,412.9
370,412.9
371,412.9
372,458.8
373,412.9
374,412.9
375,344.1
376,412.9
377,412.9
378,412.9
379,458.8
380,412.9
381,458.8
382,458.8
383,344.1
384,412.9
385,412.9
386,412.9
387,412.9
388,412.9
389,344.1
390,458.8
391,344.1
392,344.1
393,412.9
394,458.8
395,412.9
396,516.2
397,516.2
398,516.2
399,516.2
400,516.2
401,516.2
402,516.2
403,516.2
404,516.2
405,516.2
406,516.2
407,516.2
408,516.2
409,516.2
410,516.2
411,516.2
412,516.2
413,516.2
414,458.8
415,516.2
416,412.9
417,516.2
418,458.8
419,516.2
420,516.2
421,516.2
422,516.2
423,516.2
424,516.2
425,516.2
426,516.2
427,516.2
428,516.2
429,516.2
430,516.2
431,516.2
432,516.2
433,516.2
434,516.2
435,516.2
436,516.2
437,516.2
438,516.2
439,516.2
440,412.9
441,516.2
442,516.2
443,516.2
444,516.2
445,516.2
446,516.2
447,516.2
448,516.2
449,516.2
450,516.2
451,516.2
452,516.2
453,516.2
454,516.2
455,516.2
456,412.9
457,516.2
458,516.2
459,516.2
460,516.2
461,516.2
462,516.2
463,516.2
464,516.2
465,516.2
466,516.2
467,516.2
468,516.2
469,516.2
470,516.2
471,516.2
472,516.2
473,516.2
474,516.2
475,516.2
476,516.2
477,516.2
478,516.2
479,516.2
480,516.2
481,516.2
482,516.2
483,516.2
484,516.2
485,458.8
486,458.8
487,412.9
488,458.8
489,458.8
490,458.8
491,458.8
492,412.9
493,458.8
494,458.8
495,458.8
496,458.8
497,458.8
498,458.8
499,458.8
500,458.8
501,458.8
502,458.8
503,458.8
504,458.8
505,458.8
506,458.8
507,458.8
508,458.8
509,412.9
510,458.8
511,458.8
512,412.9
513,458.8
514,458.8
515,458.8
516,412.9
517,458.8
518,412.9
519,458.8
520,458.8
521,458.8
522,458.8
523,458.8
524,458.8
525,458.8
526,458.8
527,412.9
528,458.8
529,412.9
530,412.9
531,458.8
532,458.8
533,412.9
534,458.8
535,458.8
536,458.8
537,458.8
538,458.8
539,458.8
540,458.8
541,412.9
542,458.8
543,458.8
544,458.8
545,458.8
546,458.8
547,458.8
548,458.8
549,458.8
550,458.8
551,458.8
552,412.9
553,458.8
554,458.8
555,412.9
556,412.9
557,458.8
558,458.8
559,458.8
560,458.8
561,458.8
562,412.9
563,458.8
564,458.8
565,458.8
566,412.9
567,458.8
568,458.8
569,458.8
570,458.8
571,458.8
572,458.8
573,458.8
574,458.8
575,458.8
576,458.8
577,458.8
578,458.8
579,458.8
580,458.8
581,458.8
582,458.8
583,458.8
584,458.8
585,458.8
586,458.8
587,458.8
588,458.8
589,458.8
590,458.8
591,458.8
592,458.8
593,458.8
594,458.8
595,458.8
596,458.8
597,412.9
598,458.8
599,458.8
600,458.8
601,458.8
602,458.8
603,458.8
604,458.8
605,412.9
606,458.8
607,458.8
608,458.8
609,458.8
610,458.8
611,458.8
612,458.8
613,458.8
614,458.8
615,309.7
616,275.3
617,275.3
618,309.7
619,275.3
620,309.7
621,275.3
622,344.1
623,309.7
624,275.3
625,344.1
626,309.7
627,344.1
628,344.1
629,309.7
630,309.7
631,309.7
632,309.7
633,309.7
634,344.1
635,309.7
636,275.3
637,344.1
638,309.7
639,309.7
640,344.1
641,309.7
642,344.1
643,309.7
644,309.7
645,344.1
646,309.7
647,309.7
648,344.1
649,309.7
650,309.7
651,309.7
652,309.7
653,344.1
654,275.3
655,309.7
656,309.7
657,344.1
658,309.7
659,344.1
660,344.1
661,344.1
662,309.7
663,309.7
664,344.1
665,309.7
666,344.1
667,344.1
668,344.1
669,344.1
670,309.7
671,344.1
672,344.1
673,275.3
674,309.7
675,344.1
676,344.1
677,309.7
678,309.7
679,309.7
680,344.1
681,309.7
682,309.7
683,344.1
684,344.1
685,344.1
686,344.1
687,344.1
688,275.3
689,344.1
690,309.7
691,309.7
692,344.1
693,309.7
694,309.7
695,309.7
696,344.1
697,344.1
698,344.1
699,309.7
700,344.1
701,344.1
702,344.1
703,309.7
704,344.1
705,309.7
706,309.7
707,344.1
708,275.3
709,275.3
710,275.3
711,275.3
712,275.3
713,275.3
714,275.3
715,275.3
716,275.3
717,275.3
718,275.3
719,309.7
720,275.3
721,275.3
722,275.3
723,275.3
724,206.5
725,275.3
726,275.3
727,309.7
728,275.3
729,275.3
730,275.3
731,275.3
732,275.3
733,275.3
734,275.3
735,206.5
736,412.9
737,275.3
738,275.3
739,206.5
740,275.3
741,275.3
742,275.3
743,275.3
744,275.3
745,275.3
746,206.5
747,275.3
748,275.3
749,275.3
750,275.3
751,275.3
752,275.3
753,275.3
754,275.3
755,275.3
756,275.3
757,309.7
758,344.1
759,344.1
760,309.7
761,344.1
762,344.1
763,344.1
764,344.1
765,344.1
766,309.7
767,309.7
768,309.7
769,309.7
770,309.7
771,309.7
772,309.7
773,309.7
774,344.1
775,309.7
776,309.7
777,344.1
778,309.7
779,309.7
780,309.7
781,344.1
782,309.7
783,309.7
784,344.1
785,344.1
786,344.1
787,309.7
788,309.7
789,344.1
790,309.7
791,344.1
792,309.7
793,309.7
794,309.7
795,309.7
796,344.1
797,344.1
798,309.7
799,309.7
800,309.7
801,309.7
802,309.7
803,344.1
804,309.7
805,275.3
806,275.3
807,275.3
808,275.3
809,275.3
810,275.3
811,275.3
812,275.3
813,275.3
814,275.3
815,275.3
816,275.3
817,275.3
818,309.7
819,275.3
820,275.3
821,275.3
822,275.3
823,275.3
824,275.3
825,309.7
826,275.3
827,275.3
828,309.7
829,275.3
830,275.3
831,275.3
832,309.7
833,275.3
834,275.3
835,275.3
836,275.3
837,275.3
838,275.3
839,275.3
840,275.3
841,309.7
842,275.3
843,309.7
844,309.7
845,275.3
846,309.7
847,275.3
848,275.3
849,309.7
850,275.3
851,275.3
852,275.3
853,206.5
854,275.3
855,275.3
856,275.3
857,206.5
