index,mcs
0,344.1
1,344.1
2,344.1
3,344.1
4,344.1
5,344.1
6,344.1
7,344.1
8,344.1
9,309.7
10,344.1
11,344.1
12,344.1
13,344.1
14,309.7
15,344.1
16,344.1
17,344.1
18,344.1
19,344.1
20,309.7
21,309.7
22,412.9
23,344.1
24,309.7
25,344.1
26,309.7
27,344.1
28,344.1
29,344.1
30,309.7
31,344.1
32,309.7
33,412.9
34,344.1
35,344.1
36,344.1
37,344.1
38,344.1
39,344.1
40,344.1
41,344.1
42,309.7
43,344.1
44,344.1
45,344.1
46,344.1
47,344.1
48,344.1
49,344.1
50,344.1
51,344.1
52,344.1
53,344.1
54,344.1
55,344.1
56,344.1
57,344.1
58,309.7
59,344.1
60,344.1
61,344.1
62,344.1
63,275.3
64,275.3
65,344.1
66,309.7
67,309.7
68,309.7
69,309.7
70,309.7
71,309.7
72,309.7
73,309.7
74,275.3
75,309.7
76,309.7
77,309.7
78,275.3
79,275.3
80,344.1
81,309.7
82,275.3
83,309.7
84,309.7
85,309.7
86,309.7
87,309.7
88,275.3
89,309.7
90,309.7
91,275.3
92,309.7
93,309.7
94,344.1
95,309.7
96,344.1
97,344.1
98,309.7
99,309.7
100,309.7
101,309.7
102,275.3
103,309.7
104,309.7
105,344.1
106,344.1
107,344.1
108,309.7
109,309.7
110,275.3
111,309.7
112,309.7
113,309.7
114,275.3
115,309.7
116,309.7
117,275.3
118,309.7
119,275.3
120,309.7
121,344.1
122,344.1
123,275.3
124,309.7
125,309.7
126,309.7
127,309.7
128,275.3
129,309.7
130,275.3
131,275.3
132,309.7
133,275.3
134,275.3
135,309.7
136,275.3
137,309.7
138,275.3
139,275.3
140,275.3
141,309.7
142,309.7
143,309.7
144,275.3
145,275.3
146,275.3
147,275.3
148,275.3
149,309.7
150,275.3
151,275.3
152,275.3
153,275.3
154,275.3
155,275.3
156,275.3
157,275.3
158,309.7
159,275.3
160,275.3
161,275.3
162,275.3
163,344.1
164,275.3
165,275.3
166,275.3
167,275.3
168,309.7
169,309.7
170,275.3
171,275.3
172,275.3
173,275.3
174,309.7
175,275.3
176,344.1
177,309.7
178,309.7
179,309.7
180,275.3
181,309.7
182,275.3
183,275.3
184,275.3
185,309.7
186,275.3
187,275.3
188,275.3
189,275.3
190,309.7
191,275.3
192,309.7
193,275.3
194,275.3
195,344.1
196,275.3
197,309.7
198,275.3
199,275.3
200,275.3
201,275.3
202,309.7
203,275.3
204,275.3
205,309.7
206,275.3
207,275.3
208,275.3
209,275.3
210,344.1
211,275.3
212,206.5
213,309.7
214,309.7
215,275.3
216,309.7
217,275.3
218,309.7
219,309.7
220,309.7
221,309.7
222,275.3
223,275.3
224,275.3
225,344.1
226,275.3
227,309.7
228,309.7
229,275.3
230,275.3
231,206.5
232,275.3
233,206.5
234,275.3
235,275.3
236,275.3
237,206.5
238,275.3
239,275.3
240,206.5
241,206.5
242,275.3
243,275.3
244,275.3
245,206.5
246,275.3
247,206.5
248,206.5
249,275.3
250,206.5
251,275.3
252,275.3
253,275.3
254,206.5
255,309.7
256,275.3
257,275.3
258,275.3
259,206.5
260,275.3
261,275.3
262,206.5
263,206.5
264,206.5
265,206.5
266,206.5
267,275.3
268,275.3
269,275.3
270,206.5
271,275.3
272,275.3
273,309.7
274,206.5
275,275.3
276,206.5
277,275.3
278,275.3
279,206.5
280,206.5
281,275.3
282,275.3
283,275.3
284,206.5
285,275.3
286,275.3
287,275.3
288,309.7
289,206.5
290,275.3
291,275.3
292,275.3
293,275.3
294,275.3
295,275.3
296,275.3
297,275.3
298,275.3
299,206.5
300,275.3
301,275.3
302,275.3
303,275.3
304,275.3
305,275.3
306,275.3
307,275.3
308,275.3
309,275.3
310,206.5
311,275.3
312,275.3
313,206.5
314,275.3
315,275.3
316,275.3
317,206.5
318,275.3
319,275.3
320,275.3
321,275.3
322,275.3
323,275.3
324,275.3
325,275.3
326,206.5
327,275.3
328,275.3
329,275.3
330,206.5
331,206.5
332,275.3
333,206.5
334,275.3
335,275.3
336,275.3
337,275.3
338,206.5
339,309.7
340,275.3
341,275.3
342,275.3
343,275.3
344,206.5
345,275.3
346,275.3
347,275.3
348,206.5
349,275.3
350,206.5
351,206.5
352,275.3
353,275.3
354,206.5
355,206.5
356,275.3
357,206.5
358,275.3
359,275.3
360,275.3
361,275.3
362,275.3
363,275.3
364,206.5
365,206.5
366,206.5
367,275.3
368,275.3
369,206.5
370,275.3
371,275.3
372,275.3
373,275.3
374,275.3
375,206.5
376,275.3
377,275.3
378,275.3
379,275.3
380,275.3
381,275.3
382,275.3
383,206.5
384,275.3
385,275.3
386,275.3
387,275.3
388,275.3
389,275.3
390,275.3
391,275.3
392,275.3
393,309.7
394,275.3
395,275.3
396,275.3
397,275.3
398,309.7
399,275.3
400,275.3
401,275.3
402,309.7
403,275.3
404,275.3
405,309.7
406,275.3
407,275.3
408,275.3
409,275.3
410,275.3
411,275.3
412,275.3
413,275.3
414,275.3
415,275.3
416,206.5
417,206.5
418,275.3
419,206.5
420,275.3
421,275.3
422,275.3
423,275.3
424,275.3
425,275.3
426,309.7
427,275.3
428,275.3
429,309.7
430,206.5
431,344.1
432,275.3
433,206.5
434,275.3
435,206.5
436,344.1
437,412.9
438,344.1
439,344.1
440,344.1
441,412.9
442,412.9
443,344.1
444,344.1
445,344.1
446,344.1
447,344.1
448,344.1
449,344.1
450,344.1
451,344.1
452,412.9
453,309.7
454,412.9
455,344.1
456,412.9
457,344.1
458,344.1
459,344.1
460,344.1
461,344.1
462,344.1
463,344.1
464,344.1
465,412.9
466,344.1
467,344.1
468,344.1
469,344.1
470,344.1
471,344.1
472,344.1
473,344.1
474,344.1
475,344.1
476,412.9
477,344.1
478,344.1
479,412.9
480,344.1
481,412.9
482,412.9
483,344.1
484,412.9
485,344.1
486,344.1
487,412.9
488,344.1
489,309.7
490,344.1
491,344.1
492,412.9
493,344.1
494,344.1
495,412.9
496,344.1
497,344.1
498,344.1
499,412.9
500,344.1
501,344.1
502,344.1
503,344.1
504,412.9
505,344.1
506,344.1
507,309.7
508,344.1
509,412.9
510,412.9
511,458.8
512,458.8
513,458.8
514,412.9
515,458.8
516,458.8
517,458.8
518,458.8
519,458.8
520,458.8
521,458.8
522,458.8
523,458.8
524,458.8
525,458.8
526,458.8
527,458.8
528,458.8
529,458.8
530,458.8
531,458.8
532,458.8
533,412.9
534,412.9
535,458.8
536,458.8
537,458.8
538,458.8
539,458.8
540,458.8
541,458.8
542,458.8
543,458.8
544,458.8
545,458.8
546,458.8
547,458.8
548,458.8
549,458.8
550,458.8
551,458.8
552,458.8
553,458.8
554,458.8
555,458.8
556,458.8
557,458.8
558,458.8
559,458.8
560,458.8
561,458.8
562,458.8
563,458.8
564,458.8
565,458.8
566,458.8
567,458.8
568,458.8
569,458.8
570,458.8
571,458.8
572,458.8
573,458.8
574,458.8
575,458.8
576,458.8
577,412.9
578,458.8
579,458.8
580,458.8
581,458.8
582,516.2
583,458.8
584,516.2
585,458.8
586,458.8
587,458.8
588,458.8
589,516.2
590,516.2
591,458.8
592,516.2
593,516.2
594,458.8
595,458.8
596,516.2
597,516.2
598,516.2
599,458.8
600,458.8
601,516.2
602,516.2
603,516.2
604,458.8
605,458.8
606,516.2
607,516.2
608,516.2
609,516.2
610,458.8
611,516.2
612,516.2
613,458.8
614,516.2
615,458.8
616,516.2
617,458.8
618,516.2
619,516.2
620,458.8
621,458.8
622,516.2
623,516.2
624,516.2
625,516.2
626,516.2
627,458.8
628,516.2
629,458.8
630,516.2
631,458.8
632,516.2
633,458.8
634,516.2
635,458.8
636,516.2
637,458.8
638,516.2
639,516.2
640,516.2
641,516.2
642,516.2
643,458.8
644,516.2
645,458.8
646,458.8
647,458.8
648,458.8
649,458.8
650,458.8
651,458.8
652,458.8
653,458.8
654,458.8
655,458.8
656,458.8
657,458.8
658,458.8
659,458.8
660,458.8
661,458.8
662,458.8
663,458.8
664,458.8
665,458.8
666,458.8
667,458.8
668,458.8
669,458.8
670,458.8
671,458.8
672,458.8
673,458.8
674,458.8
675,458.8
676,458.8
677,458.8
678,458.8
679,458.8
680,458.8
681,458.8
682,458.8
683,458.8
684,458.8
685,458.8
686,458.8
687,458.8
688,458.8
689,458.8
690,458.8
691,458.8
692,458.8
693,458.8
694,458.8
695,458.8
696,458.8
697,458.8
698,458.8
699,458.8
700,458.8
701,458.8
702,458.8
703,458.8
704,458.8
705,458.8
706,458.8
707,458.8
708,458.8
709,458.8
710,458.8
711,458.8
712,458.8
713,458.8
714,412.9
715,458.8
716,412.9
717,412.9
718,458.8
719,344.1
720,412.9
721,344.1
722,412.9
723,344.1
724,344.1
725,344.1
726,412.9
727,412.9
728,344.1
729,412.9
730,458.8
731,458.8
732,412.9
733,412.9
734,458.8
735,412.9
736,412.9
737,412.9
738,458.8
739,458.8
740,344.1
741,412.9
742,412.9
743,412.9
744,412.9
745,344.1
746,412.9
747,412.9
748,412.9
749,412.9
750,344.1
751,412.9
752,412.9
753,412.9
754,412.9
755,412.9
756,412.9
757,458.8
758,344.1
759,412.9
760,412.9
761,412.9
762,412.9
763,458.8
764,412.9
765,412.9
766,412.9
767,412.9
768,412.9
769,412.9
770,412.9
771,412.9
772,344.1
773,412.9
774,458.8
775,412.9
776,458.8
777,344.1
778,344.1
779,344.1
780,344.1
781,344.1
782,344.1
783,344.1
784,344.1
785,344.1
786,344.1
787,344.1
788,344.1
789,344.1
790,344.1
791,344.1
792,344.1
793,344.1
794,344.1
795,344.1
796,344.1
797,344.1
798,344.1
799,344.1
800,344.1
801,344.1
802,344.1
803,344.1
804,344.1
805,344.1
806,344.1
807,344.1
808,344.1
809,344.1
810,344.1
811,344.1
812,344.1
813,344.1
814,344.1
815,344.1
816,344.1
817,344.1
818,344.1
819,344.1
820,412.9
821,344.1
822,344.1
823,344.1
824,344.1
825,344.1
826,344.1
827,344.1
828,344.1
829,344.1
830,344.1
831,344.1
832,344.1
833,344.1
834,344.1
835,344.1
836,412.9
837,344.1
838,344.1
839,412.9
840,344.1
841,344.1
842,344.1
843,344.1
844,344.1
845,344.1
846,344.1
847,344.1
848,344.1
849,344.1
850,344.1
851,344.1
852,309.7
853,309.7
854,344.1
855,344.1
856,344.1
857,275.3
858,344.1
859,309.7
860,309.7
861,309.7
862,344.1
863,344.1
864,344.1
865,309.7
866,309.7
867,309.7
868,344.1
869,344.1
870,344.1
871,309.7
872,309.7
873,344.1
874,309.7
875,309.7
876,309.7
877,344.1
878,309.7
879,309.7
880,309.7
881,275.3
882,344.1
883,344.1
884,344.1
885,344.1
886,344.1
887,344.1
888,344.1
889,309.7
890,309.7
891,344.1
892,309.7
893,309.7
894,344.1
895,309.7
896,309.7
897,309.7
898,309.7
899,309.7
900,309.7
901,309.7
902,309.7
903,309.7
904,309.7
905,344.1
906,309.7
907,309.7
908,309.7
909,309.7
910,309.7
911,309.7
912,309.7
913,275.3
914,275.3
915,275.3
916,275.3
917,206.5
918,309.7
919,309.7
920,275.3
921,275.3
922,309.7
923,275.3
924,275.3
925,309.7
926,275.3
927,275.3
928,275.3
929,309.7
930,275.3
931,275.3
932,275.3
933,275.3
934,275.3
935,309.7
936,206.5
937,206.5
938,206.5
939,275.3
940,275.3
941,206.5
942,275.3
943,206.5
944,309.7
945,275.3
946,275.3
947,275.3
948,206.5
949,309.7
950,206.5
951,275.3
952,275.3
953,275.3
954,275.3
955,275.3
956,275.3
957,275.3
958,206.5
959,309.7
960,309.7
961,309.7
962,275.3
963,309.7
964,275.3
965,309.7
966,206.5
967,275.3
968,275.3
969,206.5
970,275.3
971,275.3
972,275.3
973,206.5
974,206.5
975,206.5
976,275.3
977,206.5
978,309.7
979,344.1
980,309.7
981,309.7
982,309.7
983,309.7
984,309.7
985,309.7
986,309.7
987,309.7
988,275.3
989,309.7
990,275.3
991,309.7
992,309.7
993,344.1
994,309.7
995,309.7
996,309.7
997,309.7
998,309.7
999,275.3
1000,309.7
1001,309.7
1002,309.7
1003,309.7
1004,309.7
1005,309.7
1006,309.7
1007,275.3
1008,309.7
1009,309.7
1010,309.7
1011,275.3
1012,275.3
1013,309.7
1014,309.7
1015,309.7
1016,309.7
1017,309.7
1018,275.3
1019,275.3
1020,344.1
1021,309.7
1022,309.7
1023,275.3
1024,309.7
1025,309.7
1026,275.3
1027,309.7
1028,275.3
1029,206.5
1030,309.7
1031,309.7
1032,275.3
1033,309.7
1034,309.7
1035,309.7
1036,309.7
1037,309.7
1038,309.7
1039,309.7
1040,206.5
1041,206.5
1042,309.7
1043,275.3
1044,309.7
1045,309.7
1046,275.3
1047,275.3
1048,275.3
1049,275.3
1050,275.3
1051,275.3
1052,275.3
1053,275.3
1054,275.3
1055,206.5
1056,344.1
1057,275.3
1058,275.3
1059,206.5
1060,275.3
1061,275.3
1062,275.3
1063,206.5
1064,275.3
1065,206.5
1066,206.5
1067,275.3
1068,206.5
1069,275.3
1070,309.7
1071,275.3
1072,309.7
1073,275.3
1074,275.3
1075,275.3
1076,275.3
1077,275.3
1078,275.3
1079,206.5
1080,275.3
1081,275.3
1082,275.3
1083,309.7
1084,309.7
1085,206.5
1086,275.3
1087,206.5
1088,206.5
1089,275.3
1090,275.3
1091,309.7
1092,275.3
1093,275.3
1094,275.3
1095,275.3
1096,275.3
1097,275.3
1098,309.7
1099,275.3
1100,275.3
1101,309.7
1102,275.3
1103,206.5
1104,275.3
1105,275.3
1106,275.3
1107,275.3
1108,275.3
1109,275.3
1110,275.3
1111,275.3
1112,275.3
1113,275.3
1114,275.3
1115,275.3
1116,275.3
1117,275.3
1118,275.3
1119,275.3
1120,206.5
1121,275.3
1122,275.3
1123,275.3
1124,275.3
1125,275.3
1126,275.3
1127,275.3
1128,275.3
1129,275.3
1130,275.3
1131,275.3
1132,275.3
1133,275.3
1134,275.3
1135,275.3
1136,275.3
1137,275.3
1138,275.3
1139,275.3
1140,309.7
1141,206.5
1142,206.5
1143,206.5
1144,275.3
1145,275.3
1146,275.3
1147,206.5
1148,275.3
1149,206.5
1150,275.3
1151,206.5
1152,275.3
1153,275.3
1154,275.3
1155,275.3
1156,206.5
1157,206.5
1158,275.3
1159,275.3
1160,206.5
1161,275.3
1162,309.7
1163,275.3
1164,275.3
1165,275.3
1166,206.5
1167,275.3
1168,309.7
1169,309.7
1170,309.7
1171,275.3
1172,275.3
1173,275.3
1174,275.3
1175,275.3
1176,275.3
1177,309.7
1178,275.3
1179,275.3
1180,275.3
1181,206.5
1182,206.5
1183,275.3
1184,206.5
1185,275.3
1186,275.3
1187,275.3
1188,309.7
1189,309.7
1190,275.3
1191,275.3
1192,206.5
1193,275.3
1194,275.3
1195,206.5
1196,206.5
1197,206.5
1198,275.3
1199,275.3
1200,275.3
1201,275.3
1202,206.5
1203,275.3
1204,275.3
1205,275.3
1206,309.7
1207,275.3
1208,275.3
1209,275.3
1210,309.7
1211,275.3
1212,309.7
1213,309.7
1214,309.7
1215,275.3
1216,309.7
1217,309.7
1218,275.3
1219,275.3
1220,309.7
1221,275.3
1222,275.3
1223,309.7
1224,309.7
1225,309.7
1226,275.3
1227,275.3
1228,275.3
1229,275.3
1230,275.3
1231,275.3
1232,275.3
1233,275.3
1234,275.3
1235,275.3
1236,275.3
1237,309.7
1238,275.3
1239,275.3
1240,309.7
1241,309.7
1242,275.3
1243,275.3
1244,206.5
1245,275.3
1246,309.7
1247,309.7
1248,275.3
1249,275.3
1250,275.3
1251,275.3
1252,206.5
1253,206.5
1254,206.5
1255,206.5
1256,275.3
1257,275.3
1258,275.3
1259,275.3
1260,309.7
1261,275.3
1262,275.3
1263,275.3
1264,309.7
1265,309.7
1266,309.7
1267,275.3
1268,275.3
1269,275.3
1270,309.7
1271,344.1
1272,344.1
1273,344.1
1274,344.1
1275,344.1
1276,309.7
1277,309.7
1278,344.1
1279,344.1
1280,344.1
1281,344.1
1282,344.1
1283,344.1
1284,344.1
1285,344.1
1286,344.1
1287,344.1
1288,344.1
1289,344.1
1290,344.1
1291,344.1
1292,344.1
1293,344.1
1294,344.1
1295,344.1
1296,344.1
1297,344.1
1298,309.7
1299,344.1
1300,309.7
1301,309.7
1302,309.7
1303,309.7
1304,344.1
1305,344.1
1306,309.7
1307,344.1
1308,344.1
1309,344.1
1310,344.1
1311,344.1
1312,344.1
1313,344.1
1314,344.1
1315,344.1
1316,344.1
1317,344.1
1318,344.1
1319,344.1
1320,309.7
1321,309.7
1322,344.1
1323,344.1
1324,344.1
1325,344.1
1326,344.1
1327,344.1
1328,309.7
1329,309.7
1330,344.1
1331,344.1
1332,344.1
1333,344.1
1334,412.9
1335,344.1
1336,344.1
1337,344.1
1338,344.1
1339,344.1
1340,344.1
1341,344.1
1342,344.1
1343,309.7
1344,344.1
1345,344.1
1346,344.1
1347,344.1
1348,344.1
1349,275.3
1350,412.9
1351,309.7
1352,309.7
1353,344.1
1354,344.1
1355,344.1
1356,344.1
1357,344.1
1358,458.8
1359,458.8
1360,458.8
1361,458.8
1362,458.8
1363,458.8
1364,458.8
1365,458.8
1366,458.8
1367,458.8
1368,458.8
1369,458.8
1370,458.8
1371,516.2
1372,458.8
1373,458.8
1374,458.8
1375,458.8
1376,458.8
1377,458.8
1378,458.8
1379,458.8
1380,458.8
1381,458.8
1382,458.8
1383,458.8
1384,458.8
1385,458.8
1386,458.8
1387,458.8
1388,458.8
1389,458.8
1390,458.8
1391,458.8
1392,458.8
1393,458.8
1394,458.8
1395,458.8
1396,458.8
1397,458.8
1398,458.8
1399,458.8
1400,458.8
1401,458.8
1402,458.8
1403,458.8
1404,458.8
1405,458.8
1406,458.8
1407,458.8
1408,458.8
1409,458.8
1410,516.2
1411,458.8
1412,458.8
1413,458.8
1414,458.8
1415,458.8
1416,458.8
1417,458.8
1418,516.2
1419,458.8
1420,458.8
1421,458.8
1422,458.8
1423,458.8
1424,516.2
1425,458.8
1426,458.8
1427,458.8
1428,458.8
1429,458.8
1430,458.8
1431,516.2
1432,458.8
1433,458.8
1434,458.8
1435,458.8
1436,458.8
1437,458.8
1438,458.8
1439,458.8
1440,458.8
1441,458.8
1442,458.8
1443,458.8
1444,458.8
1445,458.8
1446,458.8
1447,458.8
1448,458.8
1449,458.8
1450,458.8
1451,458.8
1452,458.8
1453,458.8
1454,458.8
1455,458.8
1456,458.8
1457,458.8
1458,458.8
1459,458.8
1460,458.8
1461,458.8
1462,458.8
1463,458.8
1464,458.8
1465,458.8
1466,458.8
1467,458.8
1468,458.8
1469,458.8
1470,458.8
1471,458.8
1472,458.8
1473,458.8
1474,458.8
1475,458.8
1476,458.8
1477,458.8
1478,458.8
1479,458.8
1480,458.8
1481,458.8
1482,458.8
1483,458.8
1484,458.8
1485,458.8
1486,458.8
1487,458.8
1488,458.8
1489,458.8
1490,458.8
1491,458.8
1492,458.8
1493,458.8
1494,458.8
1495,458.8
1496,458.8
1497,458.8
1498,458.8
1499,458.8
1500,458.8
1501,458.8
1502,458.8
1503,458.8
1504,458.8
1505,458.8
1506,458.8
1507,458.8
1508,458.8
1509,458.8
1510,458.8
1511,458.8
